Source,Index,Content,Type,Timestamp
"LookerStudio","0","Device categorySessionsAverage purchase revenuemobile3,980$627.25desktop3,475$1,125.54tablet73$224.1","object","2025-09-21T05:47:50.267Z"
"LookerStudio","1","Device categorySessionsAverage purchase revenuemobile3,980$627.25desktop3,475$1,125.54tablet73$224.1","object","2025-09-21T05:47:50.267Z"
"LookerStudio","2","Session default channel groupTotal revenueSessionsOrganic Search$18,281.222,509Paid Search$22,966.842,108Direct$6,830.151,143Unassigned$35,259.65981Referral$3,864.25306Paid Social$0121","object","2025-09-21T05:47:50.267Z"
"LookerStudio","3","Session default channel groupTotal revenueSessionsOrganic Search$18,281.222,509Paid Search$22,966.842,108Direct$6,830.151,143Unassigned$35,259.65981Referral$3,864.25306Paid Social$0121","object","2025-09-21T05:47:50.267Z"
"LookerStudio","4","Day Of WeekItem revenueFriday$19,246.66Wednesday$16,951.48Monday$14,040.89Saturday$12,442Thursday$12,145.48Tuesday$8,804.52Sunday$6,501.11","object","2025-09-21T05:47:50.267Z"
"LookerStudio","5","Day Of WeekItem revenueFriday$19,246.66Wednesday$16,951.48Monday$14,040.89Saturday$12,442Thursday$12,145.48Tuesday$8,804.52Sunday$6,501.11","object","2025-09-21T05:47:50.267Z"
